iter	Passed	Remaining
403	8228	12138
404	8247	12116
405	8263	12090
406	8282	12067
407	8305	12050
408	8332	12039
409	8352	12018
410	8371	11997
411	8390	11974
412	8412	11956
413	8434	11938
414	8454	11917
415	8475	11897
416	8496	11879
417	8520	11863
418	8539	11841
419	8560	11821
420	8579	11799
421	8603	11784
422	8621	11760
423	8642	11740
424	8664	11722
425	8688	11706
426	8706	11683
427	8725	11661
428	8743	11637
429	8761	11613
430	8777	11588
431	8796	11565
432	8813	11541
433	8832	11519
434	8853	11498
435	8872	11477
436	8893	11457
437	8914	11438
438	8932	11415
439	8950	11391
440	8968	11368
441	8987	11346
442	9003	11320
443	9024	11301
444	9040	11275
445	9062	11256
446	9075	11227
447	9094	11205
448	9111	11181
449	9127	11155
450	9145	11133
451	9166	11113
452	9181	11086
453	9198	11063
454	9215	11037
455	9233	11015
456	9253	10994
457	9270	10970
458	9288	10947
459	9308	10927
460	9322	10899
461	9345	10883
462	9369	10866
463	9386	10842
464	9406	10822
465	9432	10808
466	9450	10786
467	9469	10764
468	9489	10744
469	9510	10724
470	9528	10701
471	9547	10679
472	9565	10657
473	9580	10631
474	9597	10607
475	9613	10583
476	9638	10567
477	9659	10549
478	9679	10528
479	9708	10517
480	9726	10495
481	9743	10471
482	9760	10447
483	9785	10432
484	9803	10409
485	9822	10388
486	9839	10364
487	9853	10338
488	9870	10314
489	9887	10291
490	9903	10266
491	9921	10244
492	9939	10221
493	9961	10203
494	9979	10181
495	10002	10163
496	10020	10141
497	10040	10121
498	10064	10105
499	10089	10089
500	10107	10067
501	10126	10045
502	10153	10032
503	10177	10015
504	10194	9992
505	10210	9968
506	10236	9954
507	10256	9933
508	10276	9913
509	10301	9897
510	10326	9881
511	10356	9871
512	10382	9856
513	10408	9841
514	10445	9837
515	10479	9829
516	10498	9807
517	10516	9785
518	10536	9765
519	10557	9745
520	10573	9721
521	10590	9697
522	10616	9683
523	10638	9663
524	10670	9653
525	10703	9645
526	10738	9638
527	10784	9640
528	10817	9631
529	10869	9639
530	10900	9627
531	10920	9606
532	10955	9598
533	11012	9610
534	11032	9588
535	11049	9565
536	11066	9541
537	11086	9520
538	11111	9503
539	11155	9502
540	11186	9490
541	11228	9488
542	11259	9476
543	11285	9459
544	11332	9461
545	11372	9456
546	11409	9448
547	11435	9432
548	11463	9416
549	11479	9391
550	11509	9378
551	11534	9361
552	11555	9340
553	11576	9319
554	11598	9299
555	11609	9271
556	11627	9247
557	11651	9229
558	11673	9209
559	11693	9187
560	11716	9168
561	11735	9145
562	11752	9122
563	11774	9102
564	11793	9079
565	11809	9055
566	11825	9031
567	11840	9005
568	11858	8982
569	11874	8958
570	11900	8941
571	11920	8919
572	11939	8897
573	11964	8879
574	11987	8860
575	12007	8838
576	12029	8818
577	12044	8793
578	12068	8774
579	12095	8758
580	12127	8745
581	12153	8728
582	12169	8704
583	12192	8685
584	12210	8662
585	12232	8642
586	12251	8619
587	12272	8599
588	12292	8577
589	12313	8556
590	12331	8533
591	12348	8510
592	12366	8487
593	12383	8463
594	12399	8439
595	12423	8421
596	12440	8397
597	12457	8374
598	12473	8350
599	12491	8327
600	12514	8308
601	12533	8285
602	12554	8265
603	12572	8243
604	12597	8224
605	12615	8202
606	12637	8182
607	12663	8164
608	12684	8143
609	12705	8122
610	12726	8102
611	12748	8082
612	12768	8060
613	12788	8039
614	12809	8019
615	12847	8008
616	12880	7995
617	12906	7977
618	12940	7965
619	12977	7954
620	13010	7940
621	13036	7922
622	13071	7909
623	13094	7890
624	13127	7876
625	13174	7871
626	13196	7850
627	13219	7830
628	13236	7807
629	13254	7784
630	13270	7760
631	13289	7738
632	13310	7716
633	13331	7696
634	13352	7675
635	13371	7652
636	13387	7628
637	13409	7608
638	13433	7589
639	13454	7568
640	13476	7547
641	13499	7527
642	13519	7506
643	13542	7486
644	13568	7467
645	13588	7446
646	13609	7425
647	13628	7403
648	13650	7382
649	13669	7360
650	13692	7340
651	13714	7320
652	13732	7297
653	13749	7274
654	13763	7249
655	13782	7227
656	13797	7203
657	13816	7181
658	13830	7156
659	13847	7133
660	13863	7109
661	13880	7086
662	13897	7064
663	13915	7041
664	13932	7018
665	13952	6997
666	13980	6979
667	14003	6959
668	14026	6940
669	14047	6918
670	14073	6900
671	14124	6894
672	14161	6880
673	14186	6861
674	14221	6847
675	14248	6829
676	14281	6814
677	14307	6795
678	14325	6772
679	14341	6749
680	14361	6727
681	14380	6705
682	14400	6683
683	14423	6663
684	14445	6642
685	14469	6623
686	14487	6600
687	14504	6577
688	14525	6556
689	14544	6534
690	14572	6516
691	14598	6497
692	14618	6475
693	14637	6454
694	14656	6431
695	14674	6409
696	14697	6389
697	14717	6367
698	14737	6346
699	14756	6324
700	14776	6302
701	14793	6279
702	14814	6258
703	14838	6238
704	14859	6217
705	14879	6196
706	14898	6174
707	14915	6151
708	14935	6129
709	14958	6109
710	14979	6088
711	14995	6065
712	15016	6044
713	15039	6024
714	15061	6003
715	15077	5980
716	15103	5961
717	15126	5941
718	15149	5920
719	15174	5901
720	15197	5880
721	15217	5859
722	15237	5837
723	15264	5819
724	15288	5798
725	15309	5778
726	15332	5757
727	15359	5738
728	15381	5717
729	15403	5697
730	15425	5676
731	15442	5653
732	15464	5633
733	15483	5611
734	15500	5588
735	15517	5566
736	15533	5543
737	15553	5521
738	15571	5499
739	15588	5477
740	15604	5454
741	15624	5432
742	15642	5410
743	15661	5388
744	15678	5366
745	15702	5346
746	15731	5327
747	15760	5309
748	15786	5290
749	15802	5267
750	15818	5244
751	15836	5222
752	15855	5200
753	15871	5178
754	15890	5156
755	15906	5133
756	15923	5111
757	15941	5089
758	15957	5067
759	15973	5044
760	15994	5023
761	16011	5000
762	16026	4978
763	16043	4955
764	16061	4933
765	16086	4914
766	16104	4892
767	16121	4870
768	16137	4847
769	16154	4825
770	16173	4803
771	16191	4782
772	16212	4760
773	16234	4740
774	16255	4719
775	16270	4696
776	16296	4677
777	16332	4660
778	16361	4641
779	16381	4620
780	16404	4600
781	16455	4587
782	16472	4565
783	16491	4543
784	16510	4522
785	16527	4499
786	16543	4477
787	16564	4456
788	16582	4434
789	16599	4412
790	16619	4391
791	16640	4370
792	16661	4349
793	16685	4328
794	16703	4307
795	16726	4286
796	16747	4265
797	16767	4244
798	16790	4223
799	16809	4202
800	16827	4180
801	16851	4160
802	16876	4140
803	16889	4117
804	16905	4095
805	16921	4073
806	16935	4050
807	16956	4029
808	16975	4007
809	16999	3987
810	17020	3966
811	17043	3945
812	17062	3924
813	17092	3905
814	17114	3884
815	17137	3864
816	17153	3842
817	17168	3819
818	17183	3797
819	17197	3774
820	17214	3753
821	17228	3730
822	17241	3708
823	17265	3687
824	17300	3669
825	17317	3647
826	17331	3625
827	17353	3604
828	17369	3582
829	17384	3560
830	17401	3538
831	17419	3517
832	17437	3495
833	17453	3474
834	17468	3451
835	17482	3429
836	17508	3409
837	17528	3388
838	17547	3367
839	17566	3346
840	17588	3325
841	17613	3305
842	17639	3285
843	17670	3266
844	17709	3248
845	17734	3228
846	17761	3208
847	17785	3187
848	17827	3170
849	17861	3152
850	17901	3134
851	17935	3115
852	17975	3097
853	17998	3077
854	18028	3057
855	18044	3035
856	18064	3014
857	18091	2994
858	18121	2974
859	18146	2954
860	18175	2934
861	18205	2914
862	18223	2892
863	18241	2871
864	18261	2850
865	18286	2829
866	18308	2808
867	18337	2788
868	18369	2769
869	18402	2749
870	18426	2729
871	18445	2707
872	18463	2685
873	18477	2663
874	18491	2641
875	18508	2619
876	18529	2598
877	18557	2578
878	18579	2557
879	18599	2536
880	18621	2515
881	18644	2494
882	18666	2473
883	18684	2451
884	18704	2430
885	18726	2409
886	18751	2388
887	18770	2367
888	18789	2346
889	18809	2324
890	18828	2303
891	18850	2282
892	18886	2263
893	18931	2244
894	18952	2223
895	18971	2202
896	18993	2181
897	19044	2163
898	19076	2143
899	19102	2122
900	19128	2101
901	19165	2082
902	19186	2060
903	19205	2039
904	19223	2017
905	19240	1996
906	19258	1974
907	19280	1953
908	19307	1932
909	19331	1911
910	19352	1890
911	19372	1869
912	19390	1847
913	19410	1826
914	19428	1804
915	19449	1783
916	19478	1763
917	19497	1741
918	19515	1720
919	19538	1698
920	19556	1677
921	19579	1656
922	19598	1634
923	19616	1613
924	19636	1592
925	19654	1570
926	19674	1549
927	19689	1527
928	19709	1506
929	19726	1484
930	19754	1464
931	19787	1443
932	19816	1423
933	19845	1402
934	19866	1381
935	19887	1359
936	19912	1338
937	19944	1318
938	19986	1298
939	20015	1277
940	20068	1258
941	20108	1238
942	20128	1216
943	20150	1195
944	20169	1173
945	20187	1152
946	20207	1130
947	20229	1109
948	20247	1088
949	20270	1066
950	20297	1045
951	20328	1024
952	20361	1004
